Strain_Name,ID_strain,rep_ID,t_heat,n_dilu,V,non_detect,Nt_count,LogSt,LogSt_lim
ATCC 33250,1,1,0,3,0.00054,0,381,-0.017318216,
ATCC 33250,1,1,0,3,0.00054,0,412,0.016654024,
ATCC 33250,1,2,0,3,0.00054,0,370,-0.028944764,
ATCC 33250,1,2,0,3,0.00054,0,421,0.027135608,
ATCC 33250,1,3,0,3,0.00054,0,371,0.027794666,
ATCC 33250,1,3,0,3,0.00054,0,325,-0.029695883,
ATCC 33250,1,1,2.25,2,0.00054,0,855,-0.666277077,
ATCC 33250,1,1,2.25,2,0.00054,0,853,-0.66729416,
ATCC 33250,1,2,2.25,2,0.00054,0,917,-0.634777152,
ATCC 33250,1,2,2.25,2,0.00054,0,936,-0.625870639,
ATCC 33250,1,3,2.25,2,0.00054,0,933,-0.5716976,
ATCC 33250,1,3,2.25,2,0.00054,0,978,-0.551240389,
ATCC 33250,1,1,4.5,1,0.00054,0,1373,-1.460572654,
ATCC 33250,1,1,4.5,1,0.00054,0,1413,-1.44810103,
ATCC 33250,1,2,4.5,1,0.00054,0,1494,-1.42279589,
ATCC 33250,1,2,4.5,1,0.00054,0,1534,-1.411321128,
ATCC 33250,1,3,4.5,1,0.00054,0,859,-1.60758608,
ATCC 33250,1,3,4.5,1,0.00054,0,836,-1.619372967,
ATCC 33250,1,1,6.75,0,0.00054,0,754,-2.720871846,
ATCC 33250,1,1,6.75,0,0.00054,0,637,-2.794103759,
ATCC 33250,1,2,6.75,0,0.00054,0,1176,-2.526739166,
ATCC 33250,1,2,6.75,0,0.00054,0,1183,-2.524161743,
ATCC 33250,1,3,6.75,0,0.00054,0,1252,-2.443974915,
ATCC 33250,1,3,6.75,0,0.00054,0,1063,-2.515045979,
ATCC 33250,1,1,9,0,0.00054,0,282,-3.147994083,
ATCC 33250,1,1,9,0,0.00054,0,356,-3.046793194,
ATCC 33250,1,2,9,0,0.00054,0,341,-3.064392109,
ATCC 33250,1,2,9,0,0.00054,0,367,-3.032480424,
ATCC 33250,1,3,9,0,0.00054,0,418,-2.920402962,
ATCC 33250,1,3,9,0,0.00054,0,460,-2.878821412,
ATCC 33250,1,1,11.25,0,0.00054,0,69,-3.759394101,
ATCC 33250,1,1,11.25,0,0.00054,0,75,-3.723181928,
ATCC 33250,1,2,11.25,0,0.00054,0,45,-3.943933974,
ATCC 33250,1,2,11.25,0,0.00054,0,49,-3.906950408,
ATCC 33250,1,3,11.25,0,0.00054,0,80,-3.638489257,
ATCC 33250,1,3,11.25,0,0.00054,0,60,-3.763427994,
ATCC 33291,2,1,0,4,0.00264,0,123,0.058496647,
ATCC 33291,2,1,0,4,0.00264,0,92,-0.067620637,
ATCC 33291,2,2,0,4,0.00264,0,108,-0.009938523,
ATCC 33291,2,2,0,4,0.00264,0,113,0.009716165,
ATCC 33291,2,3,0,4,0.00264,0,64,0.04275198,
ATCC 33291,2,3,0,4,0.00264,0,52,-0.04742465,
ATCC 33291,2,1,2.25,3,0.00264,0,60,-1.253257214,
ATCC 33291,2,1,2.25,3,0.00264,0,70,-1.186310424,
ATCC 33291,2,2,2.25,3,0.00264,0,203,-0.73586624,
ATCC 33291,2,2,2.25,3,0.00264,0,206,-0.729495058,
ATCC 33291,2,3,2.25,3,0.00264,0,29,-1.301029996,
ATCC 33291,2,3,2.25,3,0.00264,0,24,-1.383216752,
ATCC 33291,2,1,4.5,2,0.0125,0,40,-3.104654559,
ATCC 33291,2,1,4.5,2,0.0125,0,40,-3.104654559,
ATCC 33291,2,2,4.5,2,0.0125,0,179,-2.465815333,
ATCC 33291,2,2,4.5,2,0.0125,0,190,-2.439914763,
ATCC 33291,2,3,4.5,2,0.05,0,40,-3.43873408,
ATCC 33291,2,1,6.75,0,0.05,0,100,-5.308774542,
ATCC 33291,2,2,6.75,0,0.00264,0,64,-4.237182304,
ATCC 33291,2,2,6.75,0,0.00264,0,69,-4.204513187,
ATCC 33291,2,3,6.75,0,0.05,0,108,-5.007370316,
ATCC 33291,2,1,9,0,0.05,0,9,-6.354532032,
ATCC 33291,2,2,9,0,0.05,0,51,-5.613158179,
ATCC 33291,2,3,9,0,0.05,0,4,-6.43873408,
ATCC 33291,2,1,11.25,0,0.05,1,0,,-7.308774542
ATCC 33291,2,2,11.25,0,0.05,0,2,-7.01969836,
ATCC 33291,2,3,11.25,0,0.05,1,0,,-7.040794071
ATCC 33560,3,1,0,4,0.00054,0,54,0.016390416,
ATCC 33560,3,1,0,4,0.00054,0,50,-0.017033339,
ATCC 33560,3,2,0,4,0.00054,0,55,-0.037788561,
ATCC 33560,3,2,0,4,0.00054,0,65,0.034762106,
ATCC 33560,3,3,0,4,0.00054,0,43,-0.024542941,
ATCC 33560,3,3,0,4,0.00054,0,48,0.023229841,
ATCC 33560,3,1,2.25,3,0.00054,0,75,-0.84094208,
ATCC 33560,3,1,2.25,3,0.00054,0,79,-0.818376252,
ATCC 33560,3,2,2.25,3,0.00054,0,59,-1.007299239,
ATCC 33560,3,2,2.25,3,0.00054,0,73,-0.91482839,
ATCC 33560,3,3,2.25,3,0.00054,0,40,-1.055951405,
ATCC 33560,3,3,2.25,3,0.00054,0,57,-0.902136541,
ATCC 33560,3,1,4.5,2,0.00054,0,50,-2.017033339,
ATCC 33560,3,1,4.5,2,0.00054,0,45,-2.06279083,
ATCC 33560,3,2,4.5,2,0.00054,0,126,-1.677780705,
ATCC 33560,3,2,4.5,2,0.00054,0,101,-1.773829877,
ATCC 33560,3,3,4.5,2,0.00054,0,62,-1.865619707,
ATCC 33560,3,3,4.5,2,0.00054,0,54,-1.925617637,
ATCC 33560,3,1,6.75,1,0.00264,0,29,-3.942815513,
ATCC 33560,3,1,6.75,1,0.00264,0,37,-3.837011787,
ATCC 33560,3,2,6.75,1,0.00264,0,28,-4.020203386,
ATCC 33560,3,2,6.75,1,0.00264,0,26,-4.052388069,
ATCC 33560,3,3,6.75,1,0.00054,0,24,-3.277800155,
ATCC 33560,3,3,6.75,1,0.00054,0,29,-3.195613399,
ATCC 33560,3,1,9,0,0.00264,0,25,-5.007273502,
ATCC 33560,3,1,9,0,0.00264,0,24,-5.025002269,
ATCC 33560,3,2,9,0,0.00264,0,67,-4.641286615,
ATCC 33560,3,2,9,0,0.00264,0,76,-4.586547825,
ATCC 33560,3,3,9,0,0.00054,0,25,-4.260071388,
ATCC 33560,3,3,9,0,0.00054,0,17,-4.427562475,
ATCC 33560,3,1,11.25,0,0.05,0,56,-5.934391561,
ATCC 33560,3,2,11.25,0,0.05,0,42,-6.121478204,
ATCC 33560,3,3,11.25,0,0.05,0,17,-6.39413872,
NADC 5096,4,1,0,4,0.00054,0,30,0.124938737,
NADC 5096,4,1,0,4,0.00054,0,15,-0.176091259,
NADC 5096,4,2,0,4,0.00054,0,25,-0.049218023,
NADC 5096,4,2,0,4,0.00054,0,31,0.044203662,
NADC 5096,4,3,0,4,0.00054,0,24,-0.034762106,
NADC 5096,4,3,0,4,0.00054,0,28,0.032184683,
NADC 5096,4,1,2.25,3,0.00264,0,78,-1.149298082,
NADC 5096,4,1,2.25,3,0.00264,0,63,-1.242052136,
NADC 5096,4,2,2.25,3,0.00264,0,91,-1.177326806,
NADC 5096,4,2,2.25,3,0.00264,0,101,-1.132046825,
NADC 5096,4,3,2.25,3,0.00264,0,54,-1.371789755,
NADC 5096,4,3,2.25,3,0.00264,0,54,-1.371789755,
NADC 5096,4,1,4.5,2,0.05,0,225,-2.966576245,
NADC 5096,4,2,4.5,2,0.05,0,157,-3.217834623,
NADC 5096,4,3,4.5,2,0.05,0,59,-3.610697581,
NADC 5096,4,1,6.75,1,0.00264,0,127,-2.937588964,
NADC 5096,4,1,6.75,1,0.00264,0,137,-2.904672118,
NADC 5096,4,2,6.75,1,0.00264,0,157,-2.940468546,
NADC 5096,4,2,6.75,1,0.00264,0,122,-3.050008368,
NADC 5096,4,3,6.75,1,0.00264,0,88,-3.159700843,
NADC 5096,4,3,6.75,1,0.00264,0,86,-3.169685064,
NADC 5096,4,1,9,0,0.05,0,343,-4.783464643,
NADC 5096,4,2,9,0,0.05,0,301,-4.93516778,
NADC 5096,4,3,9,0,0.05,0,245,-4.992383508,
NADC 5096,4,1,11.25,0,0.05,0,86,-5.384260311,
NADC 5096,4,2,11.25,0,0.05,0,66,-5.59419034,
NADC 5096,4,3,11.25,0,0.05,0,10,-6.381549592,
BB520,5,1,0,4,0.00264,0,103,-0.047860616,
BB520,5,1,0,4,0.00264,0,127,0.043105881,
BB520,5,2,0,4,0.00264,0,105,-0.037616188,
BB520,5,2,0,4,0.00264,0,124,0.034616198,
BB520,5,3,0,4,0.00264,0,109,-0.003966187,
BB520,5,3,0,4,0.00264,0,111,0.003930294,
BB520,5,1,2.25,3,0.0125,0,110,-1.694611241,
BB520,5,1,2.25,3,0.0125,0,110,-1.694611241,
BB520,5,2,2.25,3,0.0125,0,109,-1.696685075,
BB520,5,2,2.25,3,0.0125,0,135,-1.603777804,
BB520,5,3,2.25,3,0.0125,0,63,-1.917358222,
BB520,5,3,2.25,3,0.0125,0,69,-1.877849681,
BB520,5,1,4.5,2,0.05,0,3,-4.860942663,
BB520,5,2,4.5,2,0.05,0,14,-4.190043528,
